,n,p,neighbor,TDR,miss,extra,miss+extra,miss_rate,extra_rate,SHD,SHD_rate,sd(SHD),recall,precision,F1,TPR,FPR,efficiency
hc,500,10,7,0.6603904,11.926667,6.25,18.17667,0.3396096,0.2122469,31.76333,0.9106882,1,0.536345,0.692072,1,0.22541104,0.07049407,342.87
hc,1000,10,5,0.8067942,4.99,9.053333,14.04333,0.1932058,0.3036336,24.22333,0.9546408,1,0.65556,0.7868859,1,0.17050259,0.08028801,343.05
hc,1000,10,6,0.758572,7.283333,8.906667,16.19,0.241428,0.2806261,29.28,0.9812101,1,0.5860619,0.7335921,1,0.22585988,0.06786277,359.88
hc,1000,10,7,0.7432624,8.986667,7.053333,16.04,0.2567376,0.2135146,31.72667,0.9131746,1,0.5236969,0.6817824,1,0.27643073,0.06427628,375.36
mmhc,50,10,5,0.2922345,17.97667,0.5133333,18.49,0.7077655,0.06592508,21.44667,0.8466168,1,0.6222573,0.7532884,1,0.03609521,0.0939198,459.35
mmhc,50,10,6,0.2322041,22.93333,0.6633333,23.59667,0.7677959,0.08737049,26.84333,0.9007255,1,0.5671349,0.7111177,1,0.03948378,0.09627715,481.07
mmhc,50,10,7,0.180475,28.94333,0.6733333,29.61667,0.819525,0.0952791,32.85667,0.9312769,1,0.5468135,0.6918951,1,0.03924367,0.10539851,491.32
mmhc,250,10,5,0.4637529,13.52667,0.67,14.19667,0.5362471,0.05561665,19.42,0.772777,1,0.5633215,0.7100041,1,0.06711168,0.0677624,805.6367
mmhc,250,10,6,0.3798923,18.66,0.9966667,19.65667,0.6201077,0.08105232,25.79333,0.8597125,1,0.4964664,0.6512021,1,0.0790781,0.08255155,869.9
mmhc,250,10,7,0.3068237,24.48333,1.0433333,25.52667,0.6931763,0.08858493,31.99,0.907125,1,0.4536004,0.6134028,1,0.08296669,0.08276099,888.4733
mmhc,500,10,5,0.5287269,11.91,0.7533333,12.66333,0.4712731,0.05420993,18.42667,0.7333692,1,0.5774847,0.7210335,1,0.07565023,0.06294449,997.31
mmhc,500,10,6,0.4113601,17.94333,1.1666667,19.11,0.5886399,0.0867507,25.84,0.8513902,1,0.4970922,0.654621,1,0.08808781,0.0747992,1092.1033
mmhc,500,10,7,0.3546183,22.68667,1.3166667,24.00333,0.6453817,0.09625994,31.32,0.8931659,1,0.4630701,0.6246197,1,0.09615155,0.07264268,1158.73
mmhc,1000,10,5,0.5548427,11.40667,0.9266667,12.33333,0.4451573,0.06172556,18.63667,0.7302124,1,0.5688388,0.7126582,1,0.08382944,0.0637361,1240.2233
mmhc,1000,10,6,0.4582018,16.4,1.3433333,17.74333,0.5417982,0.0897977,25.10333,0.8336723,1,0.5040734,0.6602997,1,0.09823211,0.07378195,1414.8733
mmhc,1000,10,7,0.3956353,21.16333,1.3433333,22.50667,0.6043647,0.08893335,30.71667,0.8791066,1,0.4539619,0.6164143,1,0.10992537,0.06565409,1557.7467
